0,101,58
0,105,97
0,150,98
0,153,57
0,220,53
0,229,71
0,24,88
0,281,32
0,51,34
0,68,65
0,82,80
1,10,37
1,123,48
1,126,45
1,137,91
1,194,60
1,223,62
1,23,99
1,247,43
1,25,61
1,252,50
1,261,41
1,282,89
1,63,70
1,71,62
1,77,45
10,115,71
10,127,44
10,148,42
10,175,30
10,182,50
10,185,46
10,20,30
10,35,39
10,42,95
10,56,89
10,59,61
10,67,37
10,68,70
100,115,69
100,129,41
100,167,70
100,177,151
100,199,47
100,231,81
100,248,37
100,265,57
100,298,52
101,110,77
101,133,90
101,188,70
101,202,55
101,221,105
101,227,69
101,233,47
101,234,32
101,255,79
101,270,95
101,275,113
101,277,42
101,278,93
101,280,95
101,293,86
102,125,37
102,136,71
102,186,39
102,220,38
102,245,59
102,253,56
103,161,90
103,183,41
103,185,98
103,193,67
103,202,71
103,207,41
103,293,52
104,109,96
104,189,80
104,202,85
104,206,79
104,219,65
104,227,50
104,267,84
105,111,98
105,137,54
105,158,52
105,165,61
105,175,86
105,182,49
105,216,35
105,245,67
105,267,41
105,272,66
105,280,43
105,295,89
106,108,91
106,130,92
106,209,77
106,236,36
106,265,86
106,291,52
107,109,59
107,131,75
107,150,73
107,190,91
107,247,61
107,276,66
107,281,60
108,131,95
108,149,36
108,160,34
108,195,92
108,207,97
108,233,86
108,264,62
108,295,52
109,122,35
109,165,78
109,177,90
109,201,34
109,212,85
109,251,61
109,253,53
11,135,58
11,15,48
11,177,78
11,226,85
11,286,63
11,29,73
11,30,94
11,67,81
11,69,92
110,205,73
110,257,87
110,269,46
110,296,35
111,149,78
111,158,86
111,173,41
111,181,93
111,198,59
111,205,50
111,225,92
111,286,90
111,287,59
112,126,43
112,137,55
112,146,73
112,164,81
112,176,72
112,179,96
112,181,65
112,245,66
112,253,42
112,261,37
112,263,33
112,272,92
112,273,86
112,278,87
112,291,35
113,125,30
113,126,94
113,132,31
113,156,50
113,162,50
113,191,71
113,231,68
113,243,67
113,277,76
114,121,82
114,133,30
114,150,39
114,186,64
114,224,48
114,225,44
115,129,61
115,152,47
115,177,95
115,236,117
115,250,70
115,276,69
115,294,53
116,194,33
116,195,72
116,201,75
116,227,34
116,241,40
116,261,51
116,287,44
117,221,87
117,284,96
118,126,91
118,127,81
118,150,95
118,174,97
118,183,65
118,220,38
118,228,65
119,140,55
119,143,78
119,150,70
119,154,53
119,170,95
119,213,92
119,219,33
119,296,50
12,143,91
12,166,77
12,240,99
12,266,32
12,268,70
12,272,36
12,276,43
12,281,91
12,286,171
12,295,97
12,38,61
12,97,99
12,98,54
120,127,46
120,138,99
120,143,56
120,163,36
120,171,94
120,196,54
120,208,76
120,209,72
120,211,51
120,213,95
120,219,50
120,240,72
120,253,60
120,255,55
120,267,52
121,158,46
121,229,44
121,250,50
121,298,30
122,135,78
122,163,87
122,165,74
122,167,72
122,168,95
122,192,35
123,135,74
123,170,35
123,194,45
123,213,54
123,227,46
123,230,48
123,243,72
123,271,32
123,275,67
123,295,82
124,145,52
124,164,58
124,187,38
124,234,38
125,131,91
125,218,33
125,273,66
126,127,68
126,156,98
126,175,32
126,205,53
126,212,50
126,245,45
126,259,93
126,264,95
126,278,47
127,130,94
127,146,55
127,160,54
127,170,39
127,212,65
127,220,60
127,238,31
127,277,92
127,294,60
127,297,37
128,197,43
128,243,56
128,248,75
128,296,78
129,134,34
129,143,31
129,169,43
129,197,79
129,217,33
129,274,42
13,120,70
13,130,90
13,140,67
13,186,81
13,193,30
13,206,37
13,234,92
13,256,85
13,42,31
13,44,64
13,69,49
13,78,88
130,133,61
130,146,65
130,187,62
130,211,68
130,220,90
130,222,77
130,231,64
130,246,50
130,251,32
131,190,78
131,237,54
131,264,74
131,277,53
132,162,45
132,217,97
132,219,78
132,235,93
133,217,73
133,223,32
133,246,80
133,294,91
135,185,81
135,192,52
135,205,40
135,235,32
135,237,69
135,275,52
136,137,140
136,139,68
136,145,57
136,181,78
136,197,90
136,234,61
136,281,68
137,141,43
137,147,80
137,186,57
137,232,36
137,238,72
137,266,37
137,282,85
137,284,52
137,298,73
138,174,35
138,180,75
138,217,39
138,221,62
138,229,91
138,237,98
138,269,68
138,281,87
138,282,76
